72,Creative Virtual,http://www.fasttrack.co.uk/company_profile/creative-virtual/,Chatbot developer,East London,Dec-17,63.30%,8400,99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
73,Ebury,http://www.fasttrack.co.uk/company_profile/ebury-4/,Business finance provider,Central London,Apr-18,62.77%,47000,628,Has traded £12.5bn in foreign exchange in 140 different currencies
74,ZappiStore,http://www.fasttrack.co.uk/company_profile/zappistore-2/,Research services provider,Central London,Dec-17,61.62%,19323,128,Holds weekly hackathons with its clients and programmers
75,Blis,http://www.fasttrack.co.uk/company_profile/blis-3/,Location data technology,Central London,Dec-17,61.28%,33400,186,Analyses more than 5.5bn data points each day
76,BookingBug,http://www.fasttrack.co.uk/company_profile/bookingbug/,Booking systems developer,Central London,Mar-18,60.61%,6937,117,Raised nearly £10m in April from backers including PeakSpan Capital and Downing Ventures
77,Egress,http://www.fasttrack.co.uk/company_profile/egress-2/,Data security provider,Central London,Dec-17,60.22%,9403,115,Users of its platform can revoke access to emails after they have reached the recipient’s inbox
78,Contis Group,http://www.fasttrack.co.uk/company_profile/contis-group/,Payment services provider,North Yorkshire,Mar-17,59.56%,7161,86,Appointed the former European boss of American Express to drive sales on the continent
79,PM Connect,http://www.fasttrack.co.uk/company_profile/pm-connect-2/,Mobile content provider,Birmingham,Feb-18,59.44%,19317,35,Its clients include World Wrestling Entertainment and the NBA
80,Zopa,http://www.fasttrack.co.uk/company_profile/zopa-5/,Peer-to-peer lending platform,South London,Dec-17,59.43%,46500,312,About £3.5bn has been advanced through its platform
81,WorldRemit,http://www.fasttrack.co.uk/company_profile/worldremit-3/,Online money transfers,Central London,Dec-17,59.07%,61000,440,Has raised $220m since 2010 to expand its online money transfer service
82,Dianomi,http://www.fasttrack.co.uk/company_profile/dianomi-3/,Financial content marketing,Central London,Dec-17,58.99%,12861,25,Works with eight of the top 10 global asset managers
83,Liberis,http://www.fasttrack.co.uk/company_profile/liberis/,Cash advance provider,West London,Dec-17,57.99%,15150,75,Received £57.5m in funding in April from investors including Blenheim Chalcot
84,Currencycloud,http://www.fasttrack.co.uk/company_profile/currencycloud/,Payment services provider,East London,Dec-17,57.48%,13600,140,Has 250 clients and 2m end users across the world
85,Featurespace,http://www.fasttrack.co.uk/company_profile/featurespace/,Analytics software developer,Cambridge,Dec-17,57.48%,5170,113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
86,Cloud Technology Solutions,http://www.fasttrack.co.uk/company_profile/cloud-technology-solutions-3/,Cloud IT developer,Manchester,Mar-18,57.21%,21902,102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
87,Leisure Pass Group,http://www.fasttrack.co.uk/company_profile/leisure-pass-group-3/,Tourism smartcard developer,Central London,Dec-17,57.16%,225803,105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
88,rradar,http://www.fasttrack.co.uk/company_profile/rradar/,Legal digital services,Hull,Dec-17,57.03%,5083,125,Uses machine learning and AI to provide legal advice to customers
89,Converge TS,http://www.fasttrack.co.uk/company_profile/converge-ts/,Cloud services provider,Cheshire,Dec-17,55.00%,5802,38,Focused solely on the legal sector after its first three clients were all law firms
90,Kimble Applications,http://www.fasttrack.co.uk/company_profile/kimble-applications-2/,Software developer,Central London,Dec-17,54.67%,9153,78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
91,Paymentsense,http://www.fasttrack.co.uk/company_profile/paymentsense-8/,Payment services provider,West London,Mar-18,53.54%,72400,243,Processed more than £6.5bn of card payments last year in the UK and Ireland
92,Godel Technologies,http://www.fasttrack.co.uk/company_profile/godel-technologies-2/,Software developer,Manchester,Dec-17,53.01%,13853,637,Is named after the late German mathematician Kurt Gödel
93,Secret Escapes,http://www.fasttrack.co.uk/company_profile/secret-escapes-2/,Online travel services,Central London,Dec-17,52.99%,73000,850,Has raised £132m from investors including Google Ventures
94,Neuven,http://www.fasttrack.co.uk/company_profile/neuven-4/,HR software developer,Manchester,Jul-17,52.23%,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
95,CitNOW,http://www.fasttrack.co.uk/company_profile/citnow-3/,Video software developer,Wokingham,Dec-17,51.85%,11611,71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
96,geo,http://www.fasttrack.co.uk/company_profile/geo-2/,Smart energy monitoring,Cambridge,Mar-18,51.24%,29406,85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
97,Vision RT,http://www.fasttrack.co.uk/company_profile/vision-rt/,Medical technology developer,North London,Jul-17,50.99%,32468,132,Has secured 60 patents and has another 46 pending
98,Thread,http://www.fasttrack.co.uk/company_profile/thread/,Online fashion services,Central London,Dec-17,50.77%,6492,60,"More than 800,000 men subscribe to its free personal styling service"
99,The Media Image,http://www.fasttrack.co.uk/company_profile/the-media-image-4/,Digital marketing agency,South London,Feb-18,50.38%,27515,37,Founded by the man who was Google UK’s first recruit when it launched its AdWords service in 2002
100,Brompton Technology,http://www.fasttrack.co.uk/company_profile/brompton-technology/,Video technology provider,West London,Aug-17,50.17%,5250,27,Its technology is used in high-profile events such as the Oscars
